Tip;secao;Data;Loja;Valores
PERDA;FRIOS CONGELADOS;31/01/2016;GERAL;-1685,56
PERDA;FRIOS LATICINIOS;31/01/2016;GERAL;-81,53
PERDA;HIGIENE;31/01/2016;GERAL;-1056,96
PERDA;HORT FRUT;31/01/2016;GERAL;-155624,47
PERDA;LEITE;31/01/2016;GERAL;0
PERDA;LIMPEZA DOMESTICA;31/01/2016;GERAL;-96,92
PERDA;OVOS;31/01/2016;GERAL;-2112,67
PERDA;PADARIA INDUSTRIAL;31/01/2016;GERAL;-23,55
PERDA;PADARIA PROPRIA;31/01/2016;GERAL;-10929,79
PERDA;PAPEL HIGIENICO;31/01/2016;GERAL;0
PERDA;PAPELARIA;31/01/2016;GERAL;-430
PERDA;PEIXES RESFRIADOS;31/01/2016;GERAL;-2271,74
PERDA;PET SHOP;31/01/2016;GERAL;-65,6
PERDA;UTILIDADES DOMESTICA;31/01/2016;GERAL;-358,41
PERDA;VESTUARIO;31/01/2016;GERAL;-27,44
PERDA;GERAL;31/01/2016;GERAL;-207808,18
RENTABILIDADE;AÇOUGUE;31/01/2016;CENTRO;78077,28
RENTABILIDADE;ALHO;31/01/2016;CENTRO;21836,49
RENTABILIDADE;ALIMENTOS DOCE;31/01/2016;CENTRO;159454,97
RENTABILIDADE;ALIMENTOS SALGADO;31/01/2016;CENTRO;172964,65
RENTABILIDADE;AUTOS;31/01/2016;CENTRO;1953,37
RENTABILIDADE;BASICO;31/01/2016;CENTRO;123165,59
RENTABILIDADE;BEBIDAS DEST E VINHO;31/01/2016;CENTRO;6941,27
RENTABILIDADE;BEBIDAS REFRIGERADAS;31/01/2016;CENTRO;62431,17
RENTABILIDADE;FRIOS;31/01/2016;CENTRO;95736,58
RENTABILIDADE;FRIOS ACHOCOLATADOS;31/01/2016;CENTRO;3685,06
RENTABILIDADE;FRIOS CONGELADOS;31/01/2016;CENTRO;129771,04
RENTABILIDADE;FRIOS LATICINIOS;31/01/2016;CENTRO;49930,02
RENTABILIDADE;HIGIENE;31/01/2016;CENTRO;157119,77
